Seat Type,Route,Type of Traveller,Date flown,Reccomend,Comfort rating,Comment
Economy Class,Dubai to London Heathrow,Solo Leisure,December 2017,0.0,0.0,"✅ Trip Verified | Flew British Airways from Dubai to London Heathrow. Overnight flight that departed on time and arrived 25 minutes early to a very easy to navigate through T5. Unfortunately this was the only positive aspect of my flight. Flight was on board a very old 744 with very poor inflight entertainment. B747 are beautiful old planes but the interiors should be updated. The food was OK. The biggest disappointment was the cabin crew who all seemed miserable and not interested. No smiles or even a ""welcome on board"" whilst walking down the aisle. On arrival they were standing together talking and laughing and not even acknowledging any of the passengers. The service provided by BA has significantly declined over the past few years. Even the newer planes (B777 and B787) haven't got cabins that compete with todays market. Also, just like other budget airlines, you now have to pay to choose your seat. Very very disappointed that I didn't choose another carrier as there are loads to choose from on this route roughly for the same price."
Economy Class,New York to Budapest via London,Solo Leisure,December 2017,0.0,,"✅ Trip Verified | I was on a flight from New York JFK - Budapest via London Heathrow on 9th December The flight was delayed 6hrs, when I arrived to London I got information that my flight to Budapest was cancelled due to heavy snow. That was on the 10th December. I was there with a few thousends other passengers from BA, nobody gave us any food, any water and the most important any information as to what we should do with our transfers flight and suitcase. After waiting 2-3 hrs for my suitcase I was struggling with cold at terminal 4. Someon from BA took us to terminal 5. Today is 12th December and I am still in London without any information about my baggage and transfer flight to Budapest. I paid myself for a  hotel and taxi because all other hotels BA offered are fully booked. This is not what you normally expect from British national carrier airlines. Very poor website, nothing is working and for 3 days no call centre, they try to tranfer you from one number to another without any sense."
Economy Class,Tokyo Narita to London Heathrow,Solo Leisure,December 2017,0.0,,"✅ Trip Verified | Flew Tokyo Narita to London Heathrow with British Airways. Flight delayed by four hours - which is understandable due to the weather in the UK at the time. The inflight entertainment was awful. It was good for only a short haul journey. Very limited selection and very dated equipment/screens. Plus they kept stalling. The staff were ok, although a few seemed allergic to smiling and seemed glum. We were fed at the beginning of the journey and then not until an hour towards the end. The food was average and I was very hungry throughout the service. As far as I am aware, on a long haul flight especially the services are to help you feel as comfortable as possible - I don’t call being starved very comfortable! Other airlines offer snacks throughout the journey. Why can’t you? You used to be the best and now you’re budget. I won’t be flying with British Airways again. "
Economy Class,Hamburg to London Heathrow,Couple Leisure,June 2017,0.0,,"✅ Trip Verified | I was quite disappointed with my experience with British Airways. First of all, our flight was two hours late which made me miss my connecting flight in LHR. However, the crew on the ground handled the situation quite well and provided all passengers with food-vouchers and even the captain came out of the plane to explain the situation. However, there was no information on connecting flights in LHR. Once on the plane, the lack of free service during the flight was a big minus as it now really does not make a big difference if you are flying Ryanair or British Airways. Seats were okay but nothing outstanding - same with the crew."
Economy Class,London to Pisa,Family Leisure,October 2017,0.0,,"✅ Trip Verified | Flew British Airways to Pisa due to flight times and BA miles. Overall a poor economy class product. The seats were really tight. Staff were ok, but seemed stressed. You had to pay for food in economy which is new norm of BA and they predict other airlines will follow suit. Difficult to get a glass of water. Three requests and then it materialised and that too for a young child. At check-in their automated system failed so it was done manually - thank goodness for carbon units still employed by BA. Overall BA is dramatically failing. Those who have BA miles will exhaust them and shift to other airlines. BA is no longer UK's national airline. The magic of Alex Cruz and Willie Walsh is not working if it ever did. Avoid if you are paying up front rfor your tickets. Loyalty does not pay."
Economy Class,London to Toulouse,Family Leisure,October 2017,0.0,,✅ Trip Verified |  London to Toulouse. British Airways is no longer a full service airline. To compete with EasyJet and Ryan Air it has removed food and drink from economy class and replaced with M&S food. This is over-priced and not that great. Secondly the food was never complementary- it was included in your ticket price. This was the case in this flight to Toulouse. Next time go to Pret and get a meal from there and carry it on board. I asked for a glass of water. This came in the last 30 minutes of the flight once the trolley had gone down the aisle. At least offer people water - it is a human right. The seats too are tight and a rear toilet in economy has been removed to maximise profits. In this flight there was no spare tissue or toilet roll.  I was told by the cabin crew when I asked about the new service level that more may be in store for BA's comers - charging for food in economy class for long haul flights. I hope that this is not true. The only saving grace is a comprehensive network and flight times are good. Customer care and service has gone. Avoid BA if you can. Consume your BA miles and shift to other full service carriers. They are better and more responsive.
Business Class,London to Santiago,Solo Leisure,November 2017,1.0,,"✅ Trip Verified | Great flight out from London to Santiago. Lovely, friendly crew. Goats cheese salad to start, fish pie for main, good selection of wines and managed 7 hrs sleep on way out and even longer coming back! 787-900 is a fantastic aircraft even if you do have to climb over some feet to get out, the window seats are very private. Flying this aircraft to Seychelles in May and really looking forward to it. Just waiting to try the new bedding now and catering. Just flown out to KUL and BA are way ahead of MH."
Economy Class,London to Rome,Couple Leisure,November 2017,1.0,,"✅ Trip Verified |  London to Rome. It's been a while since I last flew on BA and it certainly has changed. While the terminal, staff, aircraft, and seats are of the same high standards as before - the free in-flight meals and beverages have disappeared and must now be purchased. It seems that BA is slowly morphing into a low-cost carrier at least as far as European destinations are concerned. Presumably, this is due to the competition from Easyjet and Ryanair as well as it's CEO hailing from Vueling. I suppose it's only fair given that the fare was as cheap as the other two and BA flies out of LHR."
Economy Class,London to Manchester,Solo Leisure,November 2017,1.0,,"✅ Trip Verified |  London to Manchester. Hard to complain about a flight which last 35 mins but I was hoping for a bacon sandwich to keep me going after coming off a long haul flight with a short connection. This flight used to include complimentary tea/bacon sandwich until the much criticized move to M&S inflight offerings and a hot sandwich isn't available anymore. All things considered, that is understandable."
Premium Economy,London to Seattle,Solo Leisure,November 2017,1.0,,"✅ Trip Verified |  London to Seattle, a seamless flight which was on time and little to complain about. Efficient and professional service, meal service fine, good comfort and additional space in premium economy worth the extra. IFE selection was perhaps a little limited. Bags slow to arrive at Seattle but don't put that on BA."
Premium Economy,Seattle to London,Solo Leisure,November 2017,1.0,,"✅ Trip Verified |  Seattle to London. Good experience all round and nothing much to complain about. FA's efficient and friendly, flight was on time. Meal quality was average. Overall, believe the extra amount for premium economy worthwhile although I had cashed in some miles to cover the upgrade so perhaps a false economy. Major complaint is BA's policy of charging to book a seat - it's extremely irritating and stressful, especially in premium economy upwards."
Economy Class,London to Barcelona,Family Leisure,June 2017,0.0,,"✅ Trip Verified |  London to Barcelona. The ground service was really poor even thought I used premium counter (Sapphire status of OW).  I paid 22 pounds to get exit for myself and my mom, however the staff in the counter keep question if my mom can speak English. Staff could not distinguish the Taiwan passport from the China passport and keep said that we need Visa to go to Spain. It took nearly 10 min for her to confirm with her manager and her attitude was really really bad. The worst staff I had  met. Although BA sold a very expensive ticket, however, even a cup of water you have to pay for it. I would never choose this airline again."
Economy Class,Vancouver to Edinburgh via London,Business,December 2017,0.0,,"✅ Trip Verified |  Vancouver to Edinburgh via London was the worst travel experience I have had. I was travelling with 2 seniors (+85 & +70) we requested assistance and nobody showed up at any of the gates neither departing nor arriving. We actually had to beg for help. The distance between gates is far and too much walking for seniors. In our way from London to Edinburgh it was a nightmare. The flight was delayed and we got to London about an hour late, on top of that we asked for assistance to take the 2 seniors to the next gate and no one seemed to care. The 2 seniors had to walk all that way. It was not only the walking, it was the rush they had, as we had to go trough immigration and the next flight was living in less than 1:30 hours. On our way back from Inverness to Canada another nightmare despite we requested assistance in advance. Once again there was nobody waiting for the seniors at the gate. Again we had to beg for assistance and the British Airways staff did not seem to know or care about this. They said that they called the buggy and that was all. We said that we were going to miss the airplane as the gates/ terminal distance were far and no one seemed to care at all. We were lucky I asked a gentleman who was driving one of the buggy and passed by and he kindly accept to take the seniors to take the bus area from terminal 5 to 3 (in London) and then arranged for them to be picked up in terminal 3 and after security point. This gentleman who is not British Airways employee provided a great service. Summarizing the only good experience we had was with an external person that just by chance I asked and he decided to help us out. Seats were another problem. We did the online check in (24 before) and we had the seats already chosen 12D for one senior (isle) and 18D (isle) for the other senior. When we got to the counter in Inverness Airport the agent told us there were not seat chose even though we had prove and the boarding who was sent by email showing the seats. Then the agent put the seniors almost at the end of the airplane and in the middle seats. So once again, more walking for them, problems to get in/out the seats, and of course problem to get to the washroom. - luggage another problem! British Airways in Inverness said that the luggage goes directly to Victoria and that we did not have to pick it up in Vancouver. Surprise surprise! We went through customs and when we got to Westjet counter for the connection to Victoria they asked for the luggage.  They said we had to pick it up before going through customs. There was no way to go back to the carousel, so we had to wait for the Westjet staff to contact somebody from British Airways to get us to the carrusel and take the luggage. So nightmare again!! And another rush to us to get to the next fligh. According to Westhet agents they said that British airways should have had the assistance for the seniors and of course pick the luggage with them and bring it to the connection. What can you expect from British Airways? If It doesn’t even care about the passengers that are seniors and requested assistance. We can only thank Westjet staff who provide the assistance in Vancouver."
First Class,London to Berlin Tegel,Solo Leisure,November 2017,0.0,,"✅ Trip Verified | London to Berlin Tegel return. It's becoming ever more difficult to notice any difference between British Airways and the budget airlines. The only saving grace is that I've never experienced any issues flying out of or into T5. Noticeable cost cutting measures include the removal of complimentary onboard food and drink but also, BA have removed a toilet in economy within their A319 fleet to make space for seats in row 24 and 25 meaning there is only one economy toilet, disgraceful. My flight to Berlin was busy and the line for the sole toilet existed throughout the duration of the flight meaning the flight attendants couldn't offer an efficient trolley service and involved a continual display of other passengers weaving in and out of aisle seats. I feel for the staff who often work tirelessly. "
First Class,London Heathrow to Dubai,Family Leisure,November 2017,0.0,,"✅ Trip Verified | Flew London Heathrow to Dubai. Arrived at the new ""Wing"" at T5. A quick process and into the Concorde lounge. I noticed (as before) the check in staff do not mention the Concorde lounge per se. ""Just straight through there sir and into the 1st class lounge."" This option was rammed. Am pleased to confirm that the Concorde lounge has had a long overdue make-over. It looks a bit better. Had a snack and a few glasses of fizz - then made my way to terminal B. Friendly FA showed me and wife to our seats. Looked freshly cleaned. Pushed back on time. 1st Class was full. Airborne I had dinner: Mezze to start which was nice. Some chicken thingy for mains - which was horrible. Cheese and biscuits to conclude. Wines were ok. The seat (the new ""First"") - is not wearing well. Looking somewhat tired. Managed to get some sleep on the ""bed"" with the usual duvet and blankets. I am a tall guy and need the space. the Club World option is horrendous. Very pleased to confirm that Mr Alex Cruz (BAs CEO) has re-introduced flowers in the 1st WC. Readers will recall he cancelled these last year to save costs. If Mr Cruz wants to save costs he should get rid of the gas guzzlers 747-400s. So a full 1st cabin will generate about £40,000 of revenue. The flowers (for 2 WCs) probably cost £8.00 - so, pleased to see the airline is still flying and not gone bankrupt over the re-introduction of eight quids worth of flowers per flight. The 1st product is very mediocre compared with say Emirates. Some have said its ""sort of an upmarket Business class"". I'd agree with that. One would think, BA would want to make a big impression on this route - with at least some high end food. ""Logic"" is not something BA seem to understand - given the high level of negative reviews on this site. Very disappointing."
